household_id,camp_name,start_date,water_lppd,toilets
54418187,Dagahaley,1/1/2024,NA,NA
54418188,Hagadera,1/1/2024,NA,NA
54418189,Ifo,1/1/2024,NA,NA
54418190,Ifo 2,1/1/2024,NA,NA
54414021,Buramino,12/2/2024,9,9
54420986,Lovua settlement,9/2/2024,23,57
54420051,Arbat,9/2/2024,50,100
54420052,Basirma,9/2/2024,17,100
54420054,Kawergosk,9/2/2024,115,100
54420055,Qushtapa,9/2/2024,98,100
54419956,Dagahaley,9/2/2024,20,53
54419957,Hagadera,9/2/2024,18,60
54419958,Ifo,9/2/2024,17,57
54419959,Ifo 2,9/2/2024,26,15
54419740,Dzaleka,9/2/2024,13,75
54419158,Lovua settlement,7/29/2024,16,61
54418768,Bambasi,7/29/2024,15,41
54418771,Sherkole,7/29/2024,20,33
54418773,Tsore Camp (Assosa),7/29/2024,15,31
54420041,Arbat,7/29/2024,54,100
54420043,Basirma,7/29/2024,17,100
54420047,Kawergosk,7/29/2024,122,100
54420048,Qushtapa,7/29/2024,101,100
54419822,Dagahaley,7/29/2024,19,53
54419823,Hagadera,7/29/2024,16,60
54419825,Ifo,7/29/2024,16,57
54419826,Ifo 2,7/29/2024,19,10
54419689,Dzaleka,7/29/2024,13,0
54418973,Centre humanitaire Agadez,7/29/2024,19,0
54418969,Chadakori,7/29/2024,4,7
54418971,Dandaji Makao,7/29/2024,8,8
54418972,Garin Kaka,7/29/2024,15,17
54418778,Kigeme,7/29/2024,17,0
54419085,Kiziba,7/29/2024,35,0
54419090,Mahama,7/29/2024,21,0
54418774,Mugombwa,7/29/2024,23,0
54419101,Nyabiheke,7/29/2024,17,0
54418435,Lovua settlement,7/1/2024,16,62
54418732,Bambasi,7/1/2024,19,41
54418734,Sherkole,7/1/2024,13,33
54418735,Tsore Camp (Assosa),7/1/2024,11,31
54418779,Arbat,7/1/2024,54,100
54418780,Basirma,7/1/2024,17,100
54418791,Kawergosk,7/1/2024,122,100
54418792,Qushtapa,7/1/2024,101,100
